"Christie_murder_is_announced" "Christie_murder_of_rodger_ackroyd" "Christie_the_ABC_murders" "Francis_dead_cert" "Francis_odds_against" "M.Westmacott_giants_bread" "Stout_black_orchids" "Stout_right_to_die" "Stout_the_silent_speaker"
"away" 0.0704349357281212 0.0699905306929063 0.0809685379395435 0.102912421529279 0.103111542427367 0.128531086697502 0.0676507831879131 0.0392090965103904 0.0502711998941659
"anything" 0.13382637788343 0.0741076207336654 0.0925354719309068 0.0514562107646393 0.0970461575786984 0.111643790635056 0.0711200541206266 0.0728168935192965 0.0820214314062707
"hand" 0.0739566825145272 0.10292725101898 0.0848241826033313 0.0994820074783026 0.124946927882574 0.0694255504789425 0.0902010442505507 0.0578800948486716 0.0661463156502183
"day" 0.0950871632329636 0.0494050804891103 0.107958050586058 0.0777560518221216 0.0958330806089646 0.0975710439163516 0.0676507831879131 0.0784181930207808 0.083344357719275
"three" 0.0281739742912485 0.0823418008151838 0.0925354719309068 0.097195064777652 0.0921938496997634 0.0478473388435955 0.0988742215823345 0.108291790362031 0.109802883979362
"office" 0.00352174678640606 0.00411709004075919 0.0192782233189389 0.0560300961659406 0.101898465457633 0.00656728180206213 0.130097659976756 0.154969286207734 0.19711602063765
"take" 0.0986089100193696 0.0741076207336654 0.0385564466378779 0.0628909242678925 0.0909807727300297 0.0628582686768804 0.135301566375826 0.0877536921899214 0.100542399788332
"us" 0.063391442155309 0.181151961793404 0.235194324491055 0.100625478828628 0.0521623096985504 0.0459709726144349 0.0676507831879131 0.0560129950148434 0.107157031353354
"voice" 0.119739390737806 0.0741076207336654 0.0694016039481801 0.102912421529279 0.0509492327288166 0.121025621780859 0.0919356797169075 0.0410761963442185 0.0568858314591877
"make" 0.0880436696601514 0.0617563506113879 0.0578346699568168 0.0663213383188684 0.0655061563656214 0.100385593260092 0.0832625023851238 0.0690826938516402 0.117740441857389
"saw" 0.119739390737806 0.111161431100498 0.111813695249846 0.106342835580255 0.0412446169709468 0.0516000713019167 0.157851827438464 0.0709497936854684 0.0608546103982008
"long" 0.0986089100193696 0.0247025402445551 0.0501233806292412 0.0960515934273267 0.103111542427367 0.0863128465413879 0.088466408784194 0.0709497936854684 0.0648233893372139
"their" 0.0810001760873393 0.0576392605706287 0.0347008019740901 0.12692531988611 0.128586158791775 0.0844364803122273 0.0294888029280647 0.0392090965103904 0.0714380209022357
"let" 0.0845219228737454 0.10292725101898 0.0462677359654534 0.0617474529175671 0.0521623096985504 0.0750546491664243 0.0919356797169075 0.0989562911928901 0.120386294483397
